artist.id,artist.name,artist_mbtags,location,release.name,terms,title,year,CD,Download
ARD7TVE1187B99BFB1,Casual,,California - LA,Fear Itself,hip hop,I Didn't Mean To,0,1,1
ARMJAGH1187FB546F3,The Box Tops,classic pop and rock,"Memphis, TN",Dimensions,blue-eyed soul,Soul Deep,1969,,1
ARKRRTF1187B9984DA,Sonora Santanera,,Not available,Las Numero 1 De La Sonora Santanera,salsa,Amor De Cabaret,0,,
AR7G5I41187FB4CE6C,Adam Ant,uk,"London, England",Friend Or Foe,pop rock,Something Girls,1982,,
ARXR32B1187FB57099,Gob,,Not available,Muertos Vivos,pop punk,Face the Ashes,2007,,
ARKFYS91187B98E58F,Jeff And Sheri Easter,,Not available,Ordinary Day,southern gospel,The Moon And I (Ordinary Day Album Version),0,,
ARD0S291187B9B7BF5,Rated R,,Ohio,Da Ghetto Psychic,breakbeat,Keepin It Real (Skit),0,,
AR10USD1187B99F3F1,Tweeterfriendly Music,,"Burlington, Ontario, Canada",Gin & Phonic,post-hardcore,Drop of Rain,0,1,1
AR8ZCNI1187B9A069B,Planet P Project,,Not available,Pink World,new wave,Pink World,1984,,
ARNTLGG11E2835DDB9,Clp,,Not available,Superinstrumental,breakcore,Insatiable (Instrumental Version),0,,
ARGSJW91187B9B1D6B,JennyAnyKind,,North Carolina,I Need You,alternative rock,Young Boy Blues,0,,1
ARC43071187B990240,Wayne Watson,,"Wisner, LA",The Way Home,ccm,The Urgency (LP Version),0,,
ARL7K851187B99ACD2,Andy Andy,,Not available,Placer & Castigo,bachata,La Culpa,0,,
ARHHO3O1187B989413,Bob Azzam,,Not available,Arrivederci,chanson,Auguri Cha Cha,0,,
ARIK43K1187B9AE54C,Lionel Richie,soul and reggae,"Beverly Hills, CA",Dancing On The Ceiling,quiet storm,Tonight Will Be Alright,1986,,
ARD842G1187B997376,Blue Rodeo,canadian,"Toronto, Ontario, Canada",Outskirts,country rock,Floating,1987,,
ARIG6O41187B988BDD,Richard Souther,,United States,Cross Currents,chill-out,High Tide,0,1,
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,,Not available,Panjtan Ka Ghulam,qawwali,Sohna Nee Sohna Data,0,,
ARYKCQI1187FB3B18F,Tesla,,Not available,Gold,hard rock,Caught In A Dream,2004,,
ARNPAGP1241B9C7FD4,lextrical,,Not available,Whatever Happened To Boredom?,indietronica,Synthetic Dream,0,,1
ARQGYP71187FB44566,Jimmy Wakely,,"Mineola, AR",1942-1952 Jimmy Wakely,classic country,Broken-Down Merry-Go-Round,0,,
ARI3BMM1187FB4255E,Alice Stuart,,Washington,All The Good Times,electric blues,Kassie Jones,0,,
AR5KOSW1187FB35FF4,Elena,,Dubai UAE,Un cafe_ setanta matins,uk garage,Setanta matins,0,1,
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,rock and indie,"Morris Plains, NJ",Miss Machine,math-core,Setting Fire to Sleeping Giants,2004,,
AR47JEX1187B995D81,SUE THOMPSON,,"Nevada, MO",Sue Thompson - Her Very Best,pop rock,James (Hold The Ladder Steady),1985,,
ARGIWFO1187B9B55B7,Five Bolt Main,,Not available,Live,post-grunge,Made Like This (Live),0,,
ARNTLGG11E2835DDB9,Clp,,Not available,Strictly Confidential,breakcore,Superconfidential,0,,1
ARDNS031187B9924F0,Tim Wilson,,Georgia,The Real Twang Thang,filk,I Think My Wife Is Running Around On Me (Taco Hell),2005,1,
AROUOZZ1187B9ABE51,Willie Bobo,,"New York, NY [Spanish Harlem]",Willie Bobo's Finest Hour,latin jazz,Spanish Grease,1997,,
ARH4Z031187B9A71F2,Faye Adams,,"Newark, NJ",Shake A Hand,jump blues,Crazy Mixed Up World,1961,,
ARB29H41187B98F0EF,Terry Callier,classic pop and rock,Chicago,Occasional Rain,soul jazz,Do You Finally Need A Friend,1972,,1
AR1Y2PT1187FB5B9CE,John Wesley,,Brandon,The Emperor Falls,disco,The Emperor Falls,0,1,
ARAJPHH1187FB5566A,The Shangri-Las,,"Queens, NY",Best of The Shangri-Las,doo-wop,Twist and Shout,1964,,
AR0RCMP1187FB3F427,Billie Jo Spears,,"Beaumont, TX",20 Of Her Best,classic country,It Makes No Difference Now,1992,,
AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),,"Houston, TX",Who Is Mike Jones?,rap,Laws Patrolling (Album Version),0,,
ARGUVEV1187B98BA17,Sierra Maestra,,Not available,Tibiri Tabara,charanga,A?DA3nde va Chichi?,1997,,
ARPQ4Z01187FB3A736,Butthole Surfers,texas,"San Antonio, TX",Piouhgd + Widowermaker!,noise rock,"Barking Dogs (From ""Piouhgd"")",0,,
ARNQAVF11F4C844C04,Despina Vandi,,Not available,Profities,dance pop,OUTE ENA EFHARISTO,0,,
ARXUT4W1187FB48BEB,Javier Navarrete,,Not available,Cracks,orchestra,Midnight Swim,0,,
ARDD1RC1187B9B52B4,Jacob Young,jazz and blues,Not available,Pieces Of Time,cool jazz,In A Subtle Way,0,,
ARLGWFM1187FB4AC9F,Scarlet's Remains,,California - LA,The Palest Grey,gothic metal,Spin,2007,,
ARWYVP51187B98C516,The Suicide Machines,,"Detroit, MI",A Match & Some Gasoline,ska punk,Burning In The Aftermath,2003,,
ARFCUN31187B9AD578,The Rolling Stones,british,"London, England",Jump Back - The Best Of The Rolling Stones_ '71-'93,blues,Angie (1993 Digital Remaster),0,,
AR6YDKV1187B989230,Roberto Torres,,Not available,Lo Mejor con La Orq. Broadway,salsa,Sabor Guajiro,0,,
ARV1JVD1187B9AD195,Loudon Wainwright III,easy listening soundtracks and musicals,"Chapel Hill, NC",Grown Man,modern rock,Human Cannonball,1995,,
AR7TTS41187B9B42D3,R.L. Burnside,delta blues,"Oxford, MS",A Bothered Mind,delta blues,Glory Be,2004,,
ART3O5Z1187B9AB043,Stevie Ray Vaughan,jazz and blues,"Dallas, TX",Greatest Hits,texas blues,Crossfire,1992,1,1
AR5U94U1187FB5CDCF,John Hammond,folk,Not available,Bluesman,blues,I Can't Be Satisfied,2002,,
ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,dance and electronica,Not available,Etiquette,trip hop,Nashville Parthenon,2006,,
AR6IRG41187B9A4D98,Ec8or,,"Berlin, Germany",Ec8or,hardcore techno,Cocain Ducks,1995,,
ARS1OWB1187B99EEAD,The New York Dolls,punk,"New York, NY",Too Much Too Soon,glam rock,Human Being,1974,,
ARGMXQW1187FB54C34,Eliane Elias,brazilian,"Sao Paulo, Brazil",Bossa Nova Stories,brazilian jazz,The More I See You,2009,,
AROEL1B1187B988B90,Lost Boyz,american,"South Jamaica, Queens",Love_ Peace & Nappiness,gangster rap,Certain Things We Do,1997,,
AR8W8DN1187FB35ED0,The Germs,los angeles,"Los Angeles, CA",Germicide,rock,Forming,1977,1,
ARUWLCL1187FB549B8,Yamandu Costa,,Not available,MafuA!,brazilian jazz,MafuA!,0,,
AR3793X1187FB50CB3,Chris Rea,rock,"Middlesbrough, England",The Road To Hell Part 2,soft rock,Driving Home For Christmas,1986,,
ARINEWW1187FB5577E,Perrey And Kingsley,,Not available,Vanguard Visionaries,easy listening,Spooks In Space,1966,,
ARDGB6U1187FB3AD07,Eurythmics,british,"London, England",Be Yourself Tonight,dance rock,Tous Les GarASSons Et Les Filles,1985,,
AR2J2WF1187FB46271,Francis Dunnery,,"Egremont, Cumbria, England",Hometown 2001,singer-songwriter,Too Much Saturn,1995,,
ARUI8651187B9ACF52,John Cale,british,"Garnant, Wales",Eat / Kiss: Music For The Films By Andy Warhol,experimental rock,Movement 4 [from Kiss] (Album Version),1997,,
AR89DTT1187B9A7ED5,Suzanne Ciani,instrumental,California - SF,The Ultimate Most Relaxing New Age Piano in the Universe,meditation,Stream,0,1,1
ARMD0G81187B99A519,Vickie Winans,,Not available,Classic Gold: Best of All,ccm,Make Me Over,0,,
AR0VZWC1187B99BA57,The Berzerker,grindcore,"Melbourne, Australia",The Berzerker,speedcore,Deform (live),2000,,
ARF2EHS1187B994F4E,Kings Of Leon,american,"Nashville, Tennessee",Holy Roller Novocaine,southern rock,Wicker Chair,2003,,
ARZKRD01187FB45FD2,Edith Lefel,,Not available,Jeux de dames_ vol. 1 (rA(c)alisation Ronald Rubinel),zouk,An ti chans',0,,
ARK4H5K1187B992F74,Taras,,Not available,I Will Love Again,trance,I Will Love Again (JJ's Club Radio),0,,
AR06EB01187FB40150,NOFX,american,"Berkeley, CA",White Trash ......,punk,Stickin In My Eye,1992,,
ARKPDBH1242077DEB1,Murskahumppa,,Not available,Murskapunkkia,suomi rock,Ota kiinni,0,,
ARBJSO81187B9BA09B,Soda Stereo,rock en espanol,Not available,CanciA3n Animal,rock,Entre CanAbales,1990,,
ARRC2JF1187B9B6A93,Bruce Rowland,,AUSTRALIA,The Man from Snowy River,easy listening,Rosemary Recalls,1985,,
ARNIFX51187FB418EA,Xcultures,,Not available,One World One People,gabba,Sudanese Dance,2000,,
ARCCRTI11F4C845308,White Heart,,Not available,Tales Of Wonder,ccm,Where The Thunder Roars (Tales Of Wonder Album Version),0,,
ARNVH8S1187FB52F86,Heavy D / McGruff,,"Jamaica, West Indies",Waterbed Hev,pop rap,Wanna Be A Player,1997,,
ARNLO5S1187B9B80CC,Van Halen,classic pop and rock,"Pasadena, CA",The Best Of Both Worlds,heavy metal,Panama (Remastered Album Version),0,,
ARTDQRC1187FB4EFD4,Black Eyed Peas,pop and chart,"Los Angeles, CA",Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,hip hop,Let's Get It Started,2004,,
ARK9TRQ1187B99C095,Nine Inch Nails,industrial rock,"Cleveland, OH",Things Falling Apart,industrial metal,Metal,2000,,
ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,seen live,Not available,Your Funeral... My Trial (2009 Digital Remaster),rock,She Fell Away (2009 Digital Remaster),0,,
ARMBYRO1187FB57419,Nadine Renee,,Not available,Oasis of Love,freestyle,Next Time,0,,1
ARWY7I71187FB36C3D,Lesley Gore,classic pop and rock,"New York, NY",60's Triple set,brill building pop,It's My Party,1963,,
AR6Y22S1187B99906F,Smartbomb,,Not available,Yeah.  Well_ Anyway....,melodic hardcore,Complicate It,2001,1,
ARI5P4N1187FB3F44D,Suburbs,,Minnesota,Un Titre de Toune,british pop,Monde De Fou,2005,,
ARYPWUK1187B98ACED,Emperor,,Norway,Live Inferno,heavy metal,Opus a Satana (Part 2),0,,
ARW63KF1187B98AC48,Julien Clerc,french,FR,Vendredi 13 - 1981,chanson,This Melody (Live),0,,
AR8H87D1187FB3A841,Glen Campbell,classic pop and rock,"Delight, AR",Unconditional Love,country rock,I'm Gone This Time,0,,
ARLWR721187B9A03C9,T.G. Sheppard,,"Humboldt, TN",The Very Best Of,country rock,You Feel Good All Over,2002,,
ARF4V431187FB3AA41,Slim Whitman,,"Tampa, FL",Country Lovers. Vol. 3,folk-pop,Indian Love Call,1990,,
ARBGWMW1187B9AEA3E,Savage Garden,australian,CA,Affirmation,easy listening,You Can Still Be Free,1999,,
AR6G4V01187B9AD086,Queens Of The Stone Age,stoner rock,Not available,Lullabies To Paralyze,stoner metal,I Never Came,2005,,
ARVQ4QM1187B98AD95,Hank Penny & The Lincoln Penny Orchestra,,"Birmingham, AL",It's War Again,western swing,Dixie,0,,
AR9AM2N1187B9AD2F1,Inspiral Carpets,madchester,"Manchester, England",The Singles,indie rock,Commercial Reign,1990,,
AR9XEVF1187B99D017,Borialis,,Not available,What You Thought You Heard,rap rock,Hourglass,0,,
ARCFOZ71187FB43A0D,The Dirty Skirts,durban,Not available,Daddy Don't Disco,indie rock,Wake,0,,
ARHFEBO11F50C4825A,Flor Silvestre,,Not available,15 Exitos Vol. 2 Flor Silvestre,ranchera,Caricia Y Herida,0,,
AR107SB1187B9A79F9,BA(c)zu,,"BA(c)zu, comme Superdupont, ne connait qu&#039;un pays : la France !","Le top du pA""re NAPel",chanson,Le tortillard,0,,
ARXWAQQ1187B9AE954,Redman,soul and reggae,"Newark, NJ",Malpractice,hip hop,WKYA (drop),2001,,
ARL6XZC1187FB3936E,Solistiyhtye Suomi,finnish,Not available,20 Suosikkia / Rilluttele yAP,german pop,TerA$?slintu,0,,
ARSDSMG1187B98CB59,Eddie Cantor,,"New York, NY",The Fabulous Eddie Cantor,easy listening,Now's The Time To Fall In Love,0,,
AR3WMW01187B9921F7,Schizoid,,Not available,Grim Prospects Remixes - Grim Prospects Will Never End,breakcore,Grim Prospects (Gross Prospects - Bad Trip Remix),0,,
AR3C3C01187B98E800,Kai Winding,,"Aarhus, Denmark",The Incredible Kai Winding Trombones,hard bop,Mangos,1961,,
ARDD9UN1187B98D3A7,Sonny Simmons,,"Sicily Island, LA",Staying on the Watch,free jazz,A Distant Voice,0,,
ARJGNV61187B98F3B5,Mira,,"Tallahassee, FL",Openbare Weg,shoegaze,Openbare Weg,2006,,
ARSVI4L1187B996181,Citizen Kaned,,Not available,Tip World Singles 2000,chill-out,President Johnson,2000,,
ARVJ0JK1187B98C9C0,The Brooklyn Tabernacle Choir,,Not available,Praise Him...Live!,gospel,Lead Me Lord,1995,,
AR4PCIG1187B98D07D,Ellen McIlwaine,singer-songwriter,"Nashville, TN",Spontanous Combustion,blues-rock,Spontanous Combustion,0,,
AR1RHCO1187B9AF0BF,Vince Guaraldi / Bola Sete,,"San Francisco, CA",From All Sides,latin jazz,Choro,0,,
AR1X2H01187B98CCF2,Maurice Chevalier,french,"Menilmontant, France",Maurice Chevalier  The Essential Collection Vol 1,chanson,Ma Louise,0,,
ARBQBZV1187B99D29E,Carl Cox Vs Yousef,uk,Not available,Dave Pearce Best of the Dance Years 1988 - 1992,tech house,I Want You (Forever),1991,,
AR9ODB41187FB459B2,Organized Konfusion,group,"SPRINGFIELD, Virginia",The Equinox,hip hop,Hate,1997,,1
ARF3GX71187FB3EB66,Martina McBride,country,"Medicine Lodge, KS",Timeless,country,I Can't Stop Loving You,2005,,
AR3PN3R1187FB4CEBD,Horace Andy,classic pop and rock,"Kingston, Jamaica",Feel Good All Over: Anthology 1970-1976,roots reggae,Thank You Lord,1985,,
ARYWCFZ11E2835CFDD,Nazz,,Not available,13th And Pine,freakbeat,How Can You Call That Beautiful (Stewkey Vocal),0,,
ARUT16P1187FB532A4,Tyrone Davis,,"Greenville, MS",Call Tyrone,chicago soul,Cheatin' In The Next Room,0,,
AREOGMA1187B9908EF,Hot Tuna,folk,"San Francisco, CA",Final Vinyl,blues-rock,Candy Man,1971,1,
AR4ABL21187FB3913A,Richard Burton,,Pennsylvania,Fifteen Poems By Dylan Thomas,jazz fusion,I See The Boys Of Summer,0,,
AR8YV1I1187FB45D2B,Rory Block,folk,"New York, NY",The Early Tapes 1975-1976,delta blues,Three Is a Crowd,0,,
ARR9XGB1187B9912E6,Boyz II Men,soul and reggae,"Philadelphia, PA",Legacy,new jack swing,On Bended Knee,1994,,
ARBKUS51187B98A3AC,Howard Armstrong,,"Dayton, TN",Louie Bluie Film Soundtrack,piedmont blues,My Four Reasons,0,,
ARTB5PP1187FB523B7,Donny Hathaway,rock and indie,"Chicago, IL",Donny Hathaway,jazz funk,Little Girl (LP Version),1971,,
ARXFQDY1187B9AAF1E,Miguel Gallardo,,Not available,Canciones De Amor De Miguel Gallardo,male vocalist,Eternamente Amame,0,,
ARVEJ9M1187FB4DC44,Les Ogres De Barback,,Not available,Irfan_ le hA(c)ros,chanson,Niev nietch nievitch,1999,1,
ARTHEAP122BCFCD0B2,DJ X-Change featuring DJ Joey A,,Not available,What up Detroit,ghetto tech,Come Over,0,,
ARQESNI1187FB511EE,Morel,,Washington DC,Peterbilt Angel,dance pop,Blue Taxi,0,,
ARCZ20M1187FB49687,Tony Joe White,country,"Goodwill, LA",Homemade Ice-Cream,country rock,I Want Love (Tween You & Me) (Album Version),0,,
ARDF8K01187FB37200,Wolfmother,rock and indie,"Sydney, Australia",White Feather,stoner metal,White Feather,2009,,
AR11NP91187B9901B4,The Roches,folk,New York City,Can We Go Home Now,singer-songwriter,Christlike Roche,1995,,1
ARBZAIL1187FB5B1C8,Bob Margolin,,"Boston, MA",In North Carolina,blues-rock,You Rascal You,0,,
ARWXHRS1241B9C7A1E,Thomas Battenstein,,Not available,Wintertime,guitar,Sympathy,0,,
ARV1P811187FB3CFC6,Jupiter Rising,,Not available,Electropop,pop rap,They Say (Album),2007,,
ARIU0MA1187B98D36F,Dharma Bums,,Not available,DUMB: 4-track cassette recordings (1987),progressive house,Simon's Folly,0,,
ARB4D891187B9954F7,Saafir,,Not available,The Hit List,hip hop,Crawl Before You Ball (Album Version),1999,,
ARQOC971187B9910FA,The Verve Pipe,,"Lansing, MI",Underneath,post-grunge,Medicate Myself,2001,1,
AR19SOA1187B98F6E6,Bob Neuwirth,american,New York,99 Monkeys,singer-songwriter,Biding Her Time,1990,,
ARTDBI61187FB48479,Marvin Sapp,,"Grand Rapids, MI",Nothing Else Matters,gospel,More And More  (LP Version),0,,
ARSE6YI1187B9B9CD2,James Hunter,jazz and blues,Austin,A Tribute to The American Horse,blue-eyed soul,Cowboy Ways,0,,1
AR6C8EJ1187FB3F473,Nelson Ned,," UbA!, Minas Gerais",Mis Momentos,latin jazz,Brasas Vivas,0,,
AROI96Z1187B9A5304,Mish Mash,,Not available,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,vocal house,Kolomeyke,0,,
ARIOSKN1257509BCE1,Cama,,Not available,In this Life,los angeles,In This Life,2009,,
ARI0PUX1187FB3F215,Maxi Priest,,Great Britain / UK,Best Of Maxi Priest,lovers rock,Groovin' In The Midnight,1991,,
ARYO9BU1187B9ADA88,Porcupine Tree,progressive rock,Not available,Signify (Special Edition),experimental rock,Waiting,1997,,
ARZ507V1187FB4425E,Ragheb Alama,,Not available,Bravo Alayki Rare recording,arabesque,A'chek Ouyounik (2009 Digital Remaster),0,,
AR6XPWV1187B9ADAEB,Foo Fighters,rock,"Seattle, WA",In Your Honor,grunge,Hell,2005,,
AR6PJ8R1187FB5AD70,Shakira Featuring Wyclef Jean,colombian,"Barranquilla, Colombia",Essential R&B Hit Selection,dance pop,Hips Don't Lie (featuring Wyclef Jean),0,1,1
AR4CG3B1187FB5B861,The Avengers,punk,California - SF,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,rock,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0,,
AR7BMMV1187FB5B2D7,Robben Ford,jazz and blues,"Ukiah, CA",Talk To Your Daughter,blues-rock,I Got Over It (Album Version),1988,,
AREYIHC1187B99CE0B,Brazilian Tropical Orchestra,,Not available,American Songbook - Bacharach,bossa nova,One Less Bell To Answer,0,,
AREEMIN11F4C848971,Gil Semedo,,Netherlands,Nha VitA3ria,zouk,Festa,0,,
ARBJSO81187B9BA09B,Soda Stereo,rock en espanol,Not available,Gira Me VerA!s Volver,rock,Te Hacen Falta Vitaminas,1984,,
ARBGJLS11F4C83D4B9,Xmilk,,Not available,Scarcity,thrash core,Sense And Trick,0,,
ARVNDLR1187B99CA1B,Dolce; Oscar G.,,Oklahoma,Fire,folk-pop,Fire (Oscar G Space Vocal Mix),0,,
AR5LZJD1187FB4C5E5,Britt Nicole,, NC,Hanging On (Premiere Performance Plus Track),ccm,Hanging On (Medium Key Performance Track Without Background Vocals),0,,
AR3WMW01187B9921F7,Schizoid,,Not available,Grim Prospects Remixes - Prospects Are Getting Grimmer,breakcore,Grim Prospects (Version 2 Remix),0,,
ARAEX7Y1187FB42D36,Toni Braxton Featuring Shaggy,hip hop rnb and dance hall,"Severn, MD",Snowflakes,dance pop,Christmas In Jamaica,2001,,
ARK2G5U1187FB46B34,Perrey And Kingsley,classical,Not available,The Out Sound From Way In!,easy listening,Gossippo Perpetuo,2001,,
ARTB56G11C8A41569D,Sven Tasnadi,,Not available,El Fuego De Dentro,tech house,2190 Dias Contigo,0,1,1
AR0GGKI1187FB391D5,Eddie,,Not available,No Control,frevo,No Control,0,,
ARZEWUR1187FB53DC8,Enthroned,,"Belgica -- Namur, Namur/Ghent, East Flanders",Pentagrammaton,black metal,The Vitalized Shell,2010,,
AR89DTT1187B9A7ED5,Suzanne Ciani,instrumental,California - SF,Pianissimo,meditation,Mozart,1989,,
ARTHKKA122BCFCBF58,Milan Band,,Not available,Milan Milan,serialism,Ciao Milan,0,,
ARJDMBO1187B9AD118,Johnny Osbourne,,Not available,Auralux Reggae Showcase,roots reggae,Lend Me Your Chopper,2004,,
ARYJSY01187B9B7C65,Dolly Parton,country,"Locust Ridge, TN",Heaven,bluegrass,Letter To Heaven,1971,,
AR77FBJ1187FB49D8D,Rance Allen Group,,"Detroit, MI",Up Above My Head,jazz funk,Heaven is Where The Heart Is,0,,
ARFVYJI1187B9B8E13,Pearl Jam,grunge,"Seattle, WA",Pearl Jam,grunge,Inside Job,2006,,
ARBM4TC1187FB5CE98,Natalie Cole,jazz and blues,"Los Angeles, CA",Take A Look,vocal jazz,Take A Look  (LP Version),0,,
ARMQHX71187B9890D3,Mastodon,heavy metal,"Atlanta, GA",Crack The Skye,alternative metal,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009,,1
ARYXJ5A1187B9B9E56,Kiril Valeri,,Jerez De La Frontera (CA!diz),Behind The Blue,flamenco,Bulgarian Dream,0,,
ARULHJM1187B997004,Word,,Not available,Matumago X Press,blues-rock,Amalgama,0,,
AROTIMO1187FB532BF,DJ Quik,,Compton CA,The Best of DJ Quik - Da Finale,gangster rap,Born and Raised In Compton,1991,1,
AR0X3JJ1187FB3A9A7,Hank Locklin,,"McLellan, FL",RCA Country Legends,honky tonk,We're Gonna Go Fishin',0,,
AR035N21187FB3938E,BT,trance,Earth,LOOK (Original Motion Picture Soundtrack),electronica,Robbers Kill Cop,0,,
ARA0H5U1187FB47949,2-4 Grooves feat. Reki D.,,Not available,Relax,vocal house,Relax,2009,,
AR358YS1187FB44A29,The Jordanaires,,"Springfield, MO",Joy In Our Hearts - The Gospel Side Of The Jordanaires,country gospel,Sweet By And By,0,,
ARANOZN1187B9B373E,Descendents,punk,"Los Angeles, CA",Enjoy!,hardcore punk,Orgofart,1986,,
ARHONG11187FB3B120,L.A. Guns,,katy,A Nite On The Strip - Live,heavy metal,Bitch Is Back,1988,,
ARRA2F91187B9B4061,Bare Jr.,,Not available,Boo-Tay,post-grunge,Naked Albino,1998,,
ARSGZ3J1187FB3E610,Shelley Fabares,,"Santa Monica, CA",The Best Of Shelley Fabares [Digital Version],brill building pop,Johnny Loves Me (LP Version),0,,1
ARMQ32V1187B9999F3,Norrie Paramor,orchestral conductor,England,In London_ In Love,easy listening,Dearly Beloved,0,1,
AR8EDG51187FB41A08,Gary Hobbs,,Not available,Of My Times,tejano,The Look Of Love,0,,
AR1GYND1187B9A9CD3,Diesel Boy,punk,"Santa Rosa, California",Venus Envy,pop rock,Cooler Than You,1998,,
AR1PCLK1187FB5BBFF,Angelo Badalamenti,soundtrack,New Jersey,Freddy's Favorites: The Best of A Nightmare On Elm Street,chill-out,Taryns Deepest Fear,0,,
ARF0W6Z1187B9AC325,Cradle Of Filth,gothic metal,Not available,Bitter Suites to Succubi,sympho black metal,Summer Dying Fast,1994,,
ARWGIOC1187FB4CBEF,Jim Chappell,,United States,Manila Nights,chamber jazz,Still,0,,
ARZHLNX1187FB4B8E7,Ladybug,,NY - New York City,Snapshot,dancehall,Snapshot,0,,
ARC25S11187B993923,Bandido,,Not available,End Of The Road - Single,hard house,End Of The Road (Head Hornys Remix),0,,
ARKE8PP1187B997DD4,Brixx,,Not available,7 Miles,rap,7 Miles,0,1,
ARK9TRQ1187B99C095,Nine Inch Nails,industrial rock,"Cleveland, OH",Things Falling Apart,industrial metal,The Frail,1999,,
ARGTUWC1187B9904A0,Susana Seivane,,Not available,Os soA+-os que volven,gaita,Para Milladoiro,2010,,
ARFS01P1187B9A395A,Leland Martin,,"Blandford, MA",Leland Martin,honky tonk,Stone Cold Fingers (Bonus Track),0,,
ARGWIHH1187B9A79B0,Test Icicles,indie,Not available,For Screening Purposes Only,grime,Snowball,2005,,
AR5MK521187B98E0B8,Heaven 17,new wave,"London, England",Endless,new romantic,(We Don't Need This) Fascist Groove Thang,1981,,1
ARU22AM1187B9961EA,React,,Not available,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,happy hardcore,Drunk Alone,0,,
ARTB56G11C8A41569D,Sven Tasnadi,,Not available,Break The Night,tech house,Charisma,0,,
AR93RTI1187B98ECFB,Mance Lipscomb,,"Navasota, TX",Texas Songster,texas blues,Going Down Slow,2000,,
AR9AN471187B99E0DA,Scott Wesley Brown,,Atlanta Georgia USA,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,modern rock,All Rise,0,,
ARAR4YH1187B98BF2A,FlA!vio JosA(c),,Not available,Seu Olhar NAPSo Mente,brazil,Jogo Limpo,0,,
AR567PN1187FB4B4F2,Moss,,Not available,Never Be Scared / Don't Be A Hero,future jazz,Silent Hill,2009,,
ARYKF861187B99C74B,Pery Ribeiro,,Not available,S'Wonderful Movie'n Bossa,bossa nova,Our Love Is Here To Stay,0,,
AR4K59J1187FB3759B,Soular,,Oregon,Time and Space,breakbeat,Everything Changes,0,,
ARLSF8H1187B9A76B0,Dimmu Borgir,norwegian,"Oslo, Norway",Death ... Is just the beginning Vol.4,black metal,Master Of Disharmony,1996,,
ARDG9Z71187B997023,Public Image Ltd,uk,"London, England",Live In Tokyo,dance rock,(This Is Not A) Love Song (Live),1983,1,1
